particle,time,energy,r,potential,impact parameter,v0,v
0,50590.391976107494,119627.01324799993,1975384821428571.8,-67199.99999999999,1383443138460003.5,489.136,611.2724650235767
0,58085.54176031472,119627.01235946725,1856435494600711.2,-71373.46851159981,1383443138460003.5,489.136,618.0622636451235
0,66691.12512871357,119627.00896522176,1722363084142012.5,-76410.87158200543,1383443138460003.5,489.136,626.1595332616556
0,76571.65683823434,119627.00151310244,1573158067782929.2,-82500.04339362367,1383443138460003.5,489.136,635.8097905926364
0,87916.0251028354,119626.98756361743,1411117316852569.0,-89804.96344327276,1383443138460003.5,489.136,647.196957667278
0,100941.10260943102,119626.96337839573,1243959081004862.2,-98277.8130198412,1383443138460003.5,489.136,660.1587330305294
0,115895.8925189068,119626.96034171493,1091671875971308.5,-107053.43677460813,1383443138460003.5,489.136,673.3207216718093
0,133066.28871219646,119627.03758622179,997776070104397.9,-113097.1036031805,1383443138460003.5,489.136,682.2377022554563
0,152780.5412840577,119627.12982902469,1028502907008952.9,-111058.79248000818,1383443138460003.5,489.136,679.243582684493
0,175415.53176954575,119627.2236302201,1226167596704797.8,-99245.67279243332,1383443138460003.5,489.136,661.6236036035193
0,201403.9780680049,119627.30266148553,1574537143146207.5,-82441.0820742663,1383443138460003.5,489.136,635.7175233321036
0,231242.70680265786,119627.39128197986,2038693615935799.5,-65113.19747232695,1383443138460003.5,489.136,607.8496339627208
0,265502.15126021486,119627.39128197993,2598214503700868.0,-51091.18581661301,1383443138460003.5,489.136,584.3262395247931
0,304837.25648462796,119627.39128197997,3250584590009646.5,-40837.53439549963,1383443138460003.5,489.136,566.5067090114284
1,58085.54176031472,119627.01324799999,1975384821428571.8,-67199.99999999999,1971185142149685.2,489.136,611.2724650235768
1,66691.12512871357,119627.01237389326,1878853625323557.2,-70566.82757703972,1971185142149685.2,489.136,616.7557700596452
1,76571.65683823434,119627.00934477644,1777622018979928.2,-74288.73829101284,1971185142149685.2,489.136,622.7611863881519
1,87916.0251028354,119627.0031427674,1676874077129128.5,-78209.55824964562,1971185142149685.2,489.136,629.0255342868253
1,100941.10260943102,119626.99268794627,1586259485639929.2,-81942.73216047796,1971185142149685.2,489.136,634.9326339832033
1,115895.8925189068,119626.9772166406,1522085715041945.0,-84717.93706632347,1971185142149685.2,489.136,639.2885331099942
1,133066.28871219646,119626.95800322703,1508369678944761.0,-85326.26877360888,1971185142149685.2,489.136,640.2393720739703
1,152780.5412840577,119626.97048537844,1573262913005245.5,-82495.61562626797,1971185142149685.2,489.136,635.8027777725517
1,175415.53176954575,119627.01653161224,1739413414416286.0,-75748.91857421129,1971185142149685.2,489.136,625.1014879294778
1,201403.9780680049,119627.25600676605,2015757017657002.0,-65854.09790823699,1971185142149685.2,489.136,609.0670799099275
1,231242.70680265786,119627.25600676604,2400401373809014.5,-55301.526423206335,1971185142149685.2,489.136,591.4875863954752
