ImpactParameter,Entered,InitialVelocity,Ncaptured,CapturedVolume
[],0,0.2,0,0.0
[5.3208993e+17],1,0.4,0,0.0
[],0,0.6,0,0.0
[],0,0.8,0,0.0
[2.9215897e+17],1,1.0,0,0.0
[3.4568728e+17 5.0687610e+17 7.8294668e+16 2.3367838e+17],4,1.2,1,1.8192819474110128e+49
[2.1646391e+17],1,1.4,0,0.0
[2.7030047e+17],1,1.6,0,0.0
[1.109385e+17 3.877807e+17],2,1.8,0,0.0
[3.019283e+17],1,2.0,0,0.0
[],0,2.2,0,0.0
[2.2375548e+17],1,2.4,0,0.0
[],0,2.6,0,0.0
[1.7695848e+17],1,2.8,0,0.0
[1.4357590e+17 1.3366813e+17],2,3.0,0,0.0
[8.363625e+16 1.977874e+17],2,3.2,0,0.0
[1.3170319e+17],1,3.4,0,0.0
[1.6764046e+17],1,3.6,0,0.0
[9.037419e+16],1,3.8,0,0.0
[1.2408053e+16 1.4273219e+17],2,4.0,1,2.8474309055689636e+48
[1.6139463e+17],1,4.2,0,0.0
[6.725172e+16],1,4.4,0,0.0
[],0,4.6,0,0.0
[1.1528064e+17 1.3570346e+17],2,4.8,0,0.0
[7.281325e+16],1,5.0,0,0.0
[1.00422855e+17 2.27717577e+16],2,5.2,0,0.0
[],0,5.4,0,0.0
[1.08629636e+17],1,5.6,0,0.0
[1.0558127e+17 2.7356092e+16],2,5.8,0,0.0
[],0,6.0,0,0.0
[8.08952e+16],1,6.2,0,0.0
[3.9140707e+16],1,6.4,0,0.0
[9.887195e+16],1,6.6,0,0.0
[1.0118873e+17 5.0991540e+16 2.6873784e+16],3,6.8,0,0.0
[],0,7.0,0,0.0
[],0,7.2,0,0.0
[4.7614145e+16 6.1163341e+16],2,7.4,0,0.0
[8.109856e+16],1,7.6,0,0.0
[8.0672637e+16 5.7353146e+16],2,7.8,0,0.0
[7.597143e+16],1,8.0,0,0.0
[7.774965e+16],1,8.2,0,0.0
[6.7291752e+16],1,8.4,0,0.0
[8.1153828e+16 6.4770310e+16 7.6789918e+16 2.4610815e+16],4,8.6,0,0.0
[5.719558e+15],1,8.8,0,0.0
[6.1385704e+16 7.8374915e+16],2,9.0,0,0.0
[],0,9.2,0,0.0
[],0,9.4,0,0.0
[5.496391e+16],1,9.6,0,0.0
[5.2259874e+16 6.7725480e+16 5.3432636e+16 3.1983939e+16],4,9.8,0,0.0
[3.9318093e+16],1,10.0,0,0.0
[],0,10.2,0,0.0
[5.129471e+16 3.765907e+16],2,10.4,0,0.0
[4.8594209e+16 6.1814965e+16 4.1278596e+16 5.8229801e+16],4,10.6,1,4.1455643133541914e+48
[4.6784026e+16],1,10.8,0,0.0
[],0,11.0,0,0.0
[3.051789e+16],1,11.2,0,0.0
[5.975726e+16],1,11.4,0,0.0
[3.4885344e+16 1.4647454e+16],2,11.6,0,0.0
[],0,11.8,0,0.0
[4.9595276e+16 5.4946504e+16],2,12.0,0,0.0
[4.274786e+16],1,12.2,0,0.0
[3.7913493e+16],1,12.4,0,0.0
[],0,12.6,0,0.0
[4.5450465e+16 4.7372003e+16],2,12.8,0,0.0
[5.226737e+16],1,13.0,0,0.0
[4.6756268e+16 5.0401428e+16 3.6630105e+16],3,13.2,0,0.0
[],0,13.4,0,0.0
[4.9184875e+16],1,13.6,0,0.0
[2.9372498e+16],1,13.8,0,0.0
[4.616679e+16],1,14.0,0,0.0
[],0,14.2,0,0.0
[4.6820388e+16 4.0643898e+16 4.8216102e+16],3,14.4,1,3.080686734360653e+48
[],0,14.6,0,0.0
[],0,14.8,0,0.0
[3.540732e+16],1,15.0,0,0.0
[],0,15.2,0,0.0
[],0,15.4,0,0.0
[],0,15.6,0,0.0
[1.5663317e+16],1,15.8,0,0.0
[],0,16.0,0,0.0
[],0,16.2,0,0.0
[],0,16.4,0,0.0
[2.8127964e+16 4.1437582e+16],2,16.6,0,0.0
[],0,16.8,0,0.0
[2.5190176e+15 1.5860813e+16 3.5252007e+16],3,17.0,1,8.847035362354668e+47
[],0,17.2,0,0.0
[3.7396916e+16 3.6090249e+16],2,17.4,0,0.0
[2.2238924e+16],1,17.6,0,0.0
[1.3838932e+16],1,17.8,0,0.0
[3.1720537e+16],1,18.0,0,0.0
[],0,18.2,0,0.0
[],0,18.4,0,0.0
[],0,18.6,0,0.0
[2.7408218e+16 3.9358734e+15],2,18.8,0,0.0
[],0,19.0,0,0.0
[],0,19.2,0,0.0
[2.847366e+16],1,19.4,0,0.0
[],0,19.6,0,0.0
[],0,19.8,0,0.0
[],0,20.0,0,0.0
[],0,20.2,0,0.0
[5.6038725e+15 3.1922778e+16 3.1399748e+16],3,20.4,1,1.4407056790122172e+48
[],0,20.6,0,0.0
[1.4494953e+16],1,20.8,0,0.0
[3.3533172e+16 1.7475033e+16],2,21.0,0,0.0
[7.7924316e+15 2.6632873e+16],2,21.2,0,0.0
[3.2288407e+16],1,21.4,0,0.0
[],0,21.6,0,0.0
[1.44804e+16],1,21.8,0,0.0
[],0,22.0,0,0.0
[2.2981554e+16],1,22.2,0,0.0
[2.6162559e+16 2.1050247e+16],2,22.4,0,0.0
[2.7540033e+16],1,22.6,0,0.0
[],0,22.8,0,0.0
[1.2689246e+16],1,23.0,0,0.0
[2.2862059e+16 2.3410325e+16 2.2145826e+16],3,23.2,1,1.2560691347494066e+48
[],0,23.4,0,0.0
[2.9071216e+16 1.6695320e+16],2,23.6,0,0.0
[],0,23.8,0,0.0
[],0,24.0,0,0.0
[2.1139713e+16 2.6584737e+16],2,24.2,0,0.0
[3.5836987e+15],1,24.4,0,0.0
[5.1899633e+15],1,24.6,0,0.0
[],0,24.8,0,0.0
[2.0126900e+16 1.9978910e+16 2.2443266e+16],3,25.0,0,0.0
[],0,25.2,0,0.0
[2.6674180e+16 1.6547553e+16],2,25.4,0,0.0
[],0,25.6,0,0.0
[2.2321106e+16 1.3405254e+16],2,25.8,0,0.0
[],0,26.0,0,0.0
[],0,26.2,0,0.0
[2.4515544e+16],1,26.4,0,0.0
[1.5626185e+16 1.5832250e+16],2,26.6,0,0.0
[],0,26.8,0,0.0
[],0,27.0,0,0.0
[2.496559e+16],1,27.2,0,0.0
[1.1607882e+16 3.3221615e+15],2,27.4,1,1.3852469206429569e+47
[1.7964824e+16],1,27.6,0,0.0
[1.9390375e+16 1.3464246e+16],2,27.8,0,0.0
[],0,28.0,0,0.0
[],0,28.2,0,0.0
[],0,28.4,0,0.0
[],0,28.6,0,0.0
[1.1389096e+16],1,28.8,0,0.0
[],0,29.0,0,0.0
[2.1908841e+16 1.7872632e+16 1.7937885e+16],3,29.2,0,0.0
[],0,29.4,0,0.0
[],0,29.6,0,0.0
[2.2603517e+16 1.4784454e+16 9.7809387e+15],3,29.8,0,0.0
[],0,30.0,0,0.0
[1.391754e+16],1,30.2,0,0.0
[1.3414149e+16],1,30.4,0,0.0
[1.7308751e+16],1,30.6,0,0.0
[],0,30.8,0,0.0
[6.858526e+15],1,31.0,0,0.0
[1.9041156e+16 1.5476127e+16],2,31.2,0,0.0
[1.786286e+16],1,31.4,0,0.0
[],0,31.6,0,0.0
[6.812841e+15],1,31.8,0,0.0
[1.6464654e+16],1,32.0,0,0.0
[],0,32.2,0,0.0
[],0,32.4,0,0.0
[1.3291101e+16 9.1948217e+15 1.2381486e+16],3,32.6,0,0.0
[],0,32.8,0,0.0
[],0,33.0,0,0.0
[2.6507628e+15],1,33.2,0,0.0
[],0,33.4,0,0.0
[],0,33.6,0,0.0
[1.4755155e+16 3.3224262e+15],2,33.8,0,0.0
[1.6973002e+16],1,34.0,0,0.0
[],0,34.2,0,0.0
[1.6834783e+16],1,34.4,0,0.0
[1.252644e+16],1,34.6,0,0.0
[1.5849421e+16],1,34.8,0,0.0
[],0,35.0,0,0.0
[5.6984960e+15 5.2847457e+15],2,35.2,0,0.0
[],0,35.4,0,0.0
[1.7619383e+16],1,35.6,0,0.0
[1.3142198e+16],1,35.8,0,0.0
[1.6019157e+16],1,36.0,0,0.0
[1.8485153e+16],1,36.2,0,0.0
[1.6092232e+16 1.1798218e+16 1.7839375e+16],3,36.4,0,0.0
[],0,36.6,0,0.0
[1.6564365e+16],1,36.8,0,0.0
[1.8577424e+16],1,37.0,0,0.0
[1.3291409e+16],1,37.2,0,0.0
[9.060767e+15],1,37.4,0,0.0
[],0,37.6,0,0.0
[1.5232878e+16 1.4320690e+16 1.4861661e+16],3,37.8,0,0.0
[],0,38.0,0,0.0
