particle,time,energy,r,potential,impact parameter,v0,v
0,3664.9499181781457,1412.8333244999958,1975384821428571.8,-67199.99999999999,1.0036007579709044e+16,53.157,370.4398286483244
0,4207.925521160947,1412.8333230579592,1971040591145254.5,-67347.94777885567,1.0036007579709044e+16,53.157,370.8389976847463
0,4831.344926110085,1412.8333178345783,1966053863274904.2,-67518.17908055215,1.0036007579709044e+16,53.157,371.29775759728665
0,5547.126173613912,1412.8333071105735,1960329899340083.8,-67714.110382906,1.0036007579709044e+16,53.157,371.8250763195419
0,6368.953005134941,1412.8332885314012,1953760118736702.2,-67939.70039274497,1.0036007579709044e+16,53.157,372.43129213662047
0,7312.536457989145,1412.8332588865742,1946220137030587.0,-68199.5414958257,1.0036007579709044e+16,53.157,373.12832847349523
0,8395.915216568235,1412.8332138100668,1937567557150365.2,-68498.9680505553,1.0036007579709044e+16,53.157,373.9299433433096
0,9639.800461683573,1412.8331473798025,1927639499389204.5,-68844.18489829617,1.0036007579709044e+16,53.157,374.8520189239374
0,11067.97181058933,1412.8330515744601,1916249866351228.8,-69242.4201146936,1.0036007579709044e+16,53.157,375.9128972681519
0,12707.731916953566,1412.8329155400133,1903186357836972.8,-69702.10672351287,1.0036007579709044e+16,53.157,377.13376841394853
0,14590.428421461716,1412.8327245956316,1888207283815931.0,-70233.09874529832,1.0036007579709044e+16,53.157,378.53911678951744
0,16752.05323129234,1412.8324588791875,1871038280466103.5,-70846.92734959997,1.0036007579709044e+16,53.157,380.15723012584976
0,19233.930585016875,1412.8320915030781,1851369130473188.2,-71557.1025805514,1.0036007579709044e+16,53.157,382.02077082811735
0,22083.507056806713,1412.8315860262373,1828851050941904.8,-72379.46422721195,1.0036007579709044e+16,53.157,384.1674005254433
0,25355.258602624624,1412.8308929818886,1803095085869125.8,-73332.58008552052,1.0036007579709044e+16,53.157,386.6404298013916
0,29111.731988593485,1412.829945087462,1773672704060067.0,-74438.17743105002,1.0036007579709044e+16,53.157,389.4894282933427
0,33424.74051075017,1412.8286506160075,1740120496247380.0,-75721.56657099444,1.0036007579709044e+16,53.157,392.7706588369616
0,38376.73686501157,1412.826884201917,1701952233429743.8,-77211.95880506723,1.0036007579709044e+16,53.157,396.5470607362237
0,44062.38941279583,1412.8244740891969,1658683934070473.8,-78942.46419843787,1.0036007579709044e+16,53.157,400.887237692913
0,50590.391976107494,1412.8211845290643,1609881785008951.5,-80949.31401833984,1.0036007579709044e+16,53.157,405.86237865283573
0,58085.54176031472,1412.8166918271309,1555250178328150.2,-83269.35925863104,1.0036007579709044e+16,53.157,411.539004106435
0,66691.12512871357,1412.8105528383312,1494790146946775.2,-85933.89291700869,1.0036007579709044e+16,53.157,417.9634038282467
0,76571.65683823434,1412.8021667533176,1429080608385296.0,-88954.85560114004,1.0036007579709044e+16,53.157,425.12976317330066
0,87916.0251028354,1412.7907380408142,1359768935868637.2,-92295.83122624009,1.0036007579709044e+16,53.157,432.9171328655887
0,100941.10260943102,1412.7752682308492,1290395413061610.5,-95814.86586041123,1.0036007579709044e+16,53.157,440.97084059752086
0,115895.8925189068,1412.7632143423107,1227659878751866.0,-99164.06769086927,1.0036007579709044e+16,53.157,448.5015739219018
0,133066.28871219646,1412.8035487321176,1182960362915883.0,-101656.4588466422,1.0036007579709044e+16,53.157,454.0248063605651
0,152780.5412840577,1412.8871631310321,1173090176784671.5,-102219.4177791769,1.0036007579709044e+16,53.157,455.2632314217961
0,175415.53176954575,1412.9788383808045,1217619295898880.0,-99715.72518625649,1.0036007579709044e+16,53.157,449.7303726114955
0,201403.9780680049,1413.0194467741967,1331788649022579.0,-93692.87144927704,1.0036007579709044e+16,53.157,436.1327570730069
0,231242.70680265786,1413.0053812747356,1519950460944180.2,-84812.08000792454,1.0036007579709044e+16,53.157,415.27120147970595
0,265502.15126021486,1412.9711334507301,1776078169537382.8,-74347.07017252644,1.0036007579709044e+16,53.157,389.25580613775605
0,304837.25648462796,1410.981905511464,2089190249394863.0,-63539.38327945482,1.0036007579709044e+16,53.157,360.4174390480191
1,6368.953005134941,1412.8333244999958,1975384821428571.8,-67199.99999999999,6578383460755837.0,53.157,370.4398286483244
1,7312.536457989145,1412.8333182040224,1965687106587712.0,-67530.71607726072,6578383460755837.0,53.157,371.3315214076627
1,8395.915216568235,1412.8332978373219,1954532866937019.8,-67913.12685284585,6578383460755837.0,53.157,372.35993380245185
1,9639.800461683573,1412.8332558338006,1941700139648960.8,-68355.7917322707,6578383460755837.0,53.157,373.5468511126938
1,11067.97181058933,1412.8331826797803,1926932184341436.2,-68868.84743383626,6578383460755837.0,53.157,374.9178059695646
1,12707.731916953566,1412.8330652345758,1909931773554582.2,-69464.35241970993,6578383460755837.0,53.157,376.5028166825436
1,14590.428421461716,1412.832885368247,1890354490511996.0,-70156.72450920063,6578383460755837.0,53.157,378.3373029310456
1,16752.05323129234,1412.832618064902,1867800862363745.8,-70963.30287729374,6578383460755837.0,53.157,380.4632321141128
1,19233.930585016875,1412.8322287632473,1841807141007353.0,-71905.07817408859,6578383460755837.0,53.157,382.9305691711014
1,22083.507056806713,1412.8316695951653,1811834542812166.0,-73007.6528625091,6578383460755837.0,53.157,385.7991304606693
1,25355.258602624624,1412.8308740118955,1777256794947014.0,-74302.52108348948,6578383460755837.0,53.157,389.14098205535066
1,29111.731988593485,1412.82974901126,1737345955376724.2,-75828.79806502337,6578383460755837.0,53.157,393.04357980772215
1,33424.74051075017,1412.8281637345353,1691256773131427.5,-77635.59027539744,6578383460755837.0,53.157,397.6139294318849
1,38376.73686501157,1412.8259324518003,1638010545285872.0,-79785.28898748581,6578383460755837.0,53.157,402.98415581741574
1,44062.38941279583,1412.8227886620443,1576480975051784.2,-82358.20278658933,6578383460755837.0,53.157,409.31900902658157
1,50590.391976107494,1412.8183447403135,1505388023588992.2,-85459.1206407308,6578383460755837.0,53.157,416.8259564505817
1,58085.54176031472,1412.8120273585664,1423313798887951.5,-89226.56201764043,6578383460755837.0,53.157,425.76842072891924
1,66691.12512871357,1412.8029710093979,1328773850069361.8,-93845.32355982711,6578383460755837.0,53.157,436.4816755164792
1,76571.65683823434,1412.7898370134353,1220426092489336.5,-99561.15942661089,6578383460755837.0,53.157,449.3861352191995
1,87916.0251028354,1412.7704987183242,1097630762926124.9,-106687.50925622143,6578383460755837.0,53.157,464.97371916042687
1,100941.10260943102,1412.7676420359785,961946888629528.5,-115554.58659494441,6578383460755837.0,53.157,483.6679733804594
1,115895.8925189068,1412.8353866829566,821205108029685.5,-126184.60374486813,6578383460755837.0,53.157,505.1681682995299
1,133066.28871219646,1408.0393131427118,699966456321636.1,-136928.9673977767,6578383460755837.0,53.157,525.9981116143277
1,152780.5412840577,1183.1974191121117,655077990779555.4,-141675.5962038203,6578383460755837.0,53.157,534.5255721159324
1,175415.53176954575,710.7188425431377,750089337711668.8,-132582.43117427808,6578383460755837.0,53.157,516.3199589727695
1,201403.9780680049,429.3184853315033,979817145286823.2,-114375.99038598756,6578383460755837.0,53.157,479.1770213007278
1,231242.70680265786,374.23438996099867,1296829347391128.8,-95480.90220030985,6578383460755837.0,53.157,437.84731720148943
1,265502.15126021486,373.69610208814265,1667495707774373.0,-78586.36873964207,6578383460755837.0,53.157,397.39165779298946
1,304837.25648462796,375.2501946141492,2074056618659777.8,-64003.00686380406,6578383460755837.0,53.157,358.82657944588834
2,12707.731916953566,1412.8333244999958,1975384821428571.8,-67199.99999999999,1.2401597783410936e+16,53.157,370.4398286483244
2,14590.428421461716,1412.8333128359372,1965871397466587.0,-67524.41619221367,1.2401597783410936e+16,53.157,371.31455534371287
2,16752.05323129234,1412.8332731078262,1955048874924784.5,-67895.38820971755,1.2401597783410936e+16,53.157,372.3122922569852
2,19233.930585016875,1412.8331917096657,1942759671148052.0,-68319.13294720254,1.2401597783410936e+16,53.157,373.44870099897844
2,22083.507056806713,1412.8330510548985,1928836809776043.8,-68802.45878059932,1.2401597783410936e+16,53.157,374.7406885611815
2,25355.258602624624,1412.8328273630323,1913108262805452.8,-69352.68300122507,1.2401597783410936e+16,53.157,376.2061026314914
2,29111.731988593485,1412.8324886655755,1895404469201073.5,-69977.44412701564,1.2401597783410936e+16,53.157,377.86314087426206
2,33424.74051075017,1412.8319922482478,1875570692286576.8,-70684.34064336272,1.2401597783410936e+16,53.157,379.7293052573398
2,38376.73686501157,1412.8312814345845,1853486702311958.5,-71480.28700222477,1.2401597783410936e+16,53.157,381.8196387920856
2,44062.38941279583,1412.8302816600626,1829097482436447.0,-72370.41409735665,1.2401597783410936e+16,53.157,384.14383863083555
2,50590.391976107494,1412.8288959383644,1802460395905075.2,-73356.24453221234,1.2401597783410936e+16,53.157,386.70162510170735
2,58085.54176031472,1412.8270001318888,1773816634479614.2,-74432.73242700059,1.2401597783410936e+16,53.157,389.4754406304266
