particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,76571.65683823434,515601.8461619999,1975384821428572.0,-67199.99999999999,1489266769610231.0,1015.482,1079.6312760956862,5.820766091346741e-11
0,87916.0251028354,515601.8441894781,1722507795054467.5,-76405.21994703994,1489266769610231.0,1015.482,1088.1241327500445,-2.3283064365386963e-10
0,100941.10260943102,515601.8368360944,1498877767293130.8,-85750.40575975413,1489266769610231.0,1015.482,1096.678843231553,0.0
0,115895.8925189068,515601.8228094779,1375746334615435.5,-91510.8543911523,1489266769610231.0,1015.482,1101.918941847022,-2.3283064365386963e-10
0,133066.28871219646,515601.8188310567,1454486814925597.8,-87770.70833605545,1489266769610231.0,1015.482,1098.5194829106238,5.820766091346741e-11
0,152780.5412840577,515601.8211517166,1787422312879748.8,-73919.27888468355,1489266769610231.0,1015.482,1085.8370964711053,0.0
0,175415.53176954575,515601.8516860954,2344055630412362.0,-56630.848806539456,1489266769610231.0,1015.482,1069.7968970721824,-5.820766091346741e-11
0,201403.9780680049,515601.8516860954,3082846894387623.5,-43059.50459027536,1489266769610231.0,1015.482,1057.0348681820965,-2.9103830456733704e-10
0,231242.70680265783,515601.8516860954,3986140390937089.5,-33301.85266475102,1489266769610231.0,1015.482,1047.7630498837475,2.9103830456733704e-10
0,265502.15126021486,515601.8516860954,5054558734606319.0,-26262.601142835287,1489266769610231.0,1015.482,1041.0230091875303,2.3283064365386963e-10
0,304837.256484628,515601.8516860954,6299786241768929.0,-21071.486381532533,1489266769610231.0,1015.482,1036.0244573055484,-5.820766091346741e-11
