particle,time,energy,r,potential,impact parameter,v0,v
0,66691.12512871357,1522540.4201280007,1975384821428571.8,-67199.99999999999,952776264492625.1,1745.016,1783.1098789070743
0,76571.65683823434,1522540.4166878671,1506451506009895.0,-85411.68331241573,952776264492625.1,1745.016,1793.294231296294
0,87916.0251028354,1522540.4012237391,1072539340907830.4,-108241.5149899028,952776264492625.1,1745.016,1805.9800199413291
0,100941.10260943102,1522540.4172648878,935451835702485.0,-117431.45269822635,952776264492625.1,1745.016,1811.0614953463696
0,115895.8925189068,1522540.436564643,1376471296873223.0,-91475.4518450079,952776264492625.1,1745.016,1796.6724177821905
0,133066.28871219646,1522540.4090086988,2190952594474033.0,-60588.19361715464,952776264492625.1,1745.016,1779.3979895604318
0,152780.5412840577,1522540.409008699,3222886161035949.5,-41188.50414416462,952776264492625.1,1745.016,1768.4619945890065
0,175415.53176954575,1522540.409008699,4443848294810928.5,-29871.825317485982,952776264492625.1,1745.016,1762.051210564656
0,201403.9780680049,1522540.4090086988,5862175374945311.0,-22644.47095311242,952776264492625.1,1745.016,1757.9447545140952
0,231242.70680265786,1522540.4090086988,7499146653109330.0,-17701.462065015134,952776264492625.1,1745.016,1755.1306909023692
0,265502.15126021486,1522540.409008699,9383375838405638.0,-14146.919220338435,952776264492625.1,1745.016,1753.104291380885
0,304837.25648462796,1522540.409008699,1.1549483808346896e+16,-11493.661725735621,952776264492625.1,1745.016,1751.5901750891585
1,175415.53176954575,1522540.4201280007,1975384821428571.8,-67199.99999999999,1618841538151930.8,1745.016,1783.1098789070743
1,201403.9780680049,1522540.4599598043,1598518184645823.2,-81425.27529689315,1618841538151930.8,1745.016,1791.0699234014833
1,231242.70680265786,1522540.5086462607,2490838980120623.0,-53293.63361479575,1618841538151930.8,1745.016,1775.293858639215
1,265502.15126021486,1522540.5086462605,4143907354897788.5,-32033.983540463163,1618841538151930.8,1745.016,1763.2779090017114
1,304837.25648462796,1522540.5086462607,6215838964245230.0,-21356.06484717207,1618841538151930.8,1745.016,1757.2117535991117
2,265502.15126021486,1522540.4201280007,1975384821428571.8,-67199.99999999999,1290928829293573.0,1745.016,1783.1098789070743
2,304837.25648462796,1522346.582167998,1423440661595330.2,-89331.22617913123,1290928829293573.0,1745.016,1795.3706070597955
