particle,time,energy,r,potential,impact parameter,v0,v
0,3837.6736865011567,91.99376081999799,1975384821428571.8,-67199.99999999999,3.5216138746698764e+16,13.5642,366.8569033310399
0,4406.238941279583,91.99375812943617,1970434143434071.0,-67368.62700550802,3.5216138746698764e+16,13.5642,367.3162690751322
0,5059.0391976107485,91.9937483798567,1964748308637301.5,-67562.81799408591,3.5216138746698764e+16,13.5642,367.8445642998297
0,5808.554176031473,91.99372834969836,1958217946041256.0,-67786.54714054288,3.5216138746698764e+16,13.5642,368.4522787794712
0,6669.1125128713575,91.99369362094149,1950717381940720.2,-68044.43770670397,3.5216138746698764e+16,13.5642,369.15154449175725
0,7657.165683823434,91.99363815665129,1942102218279890.0,-68341.87778705821,3.5216138746698764e+16,13.5642,369.9564066892608
0,8791.602510283541,91.99355373054277,1932206564447555.0,-68685.15959419815,3.5216138746698764e+16,13.5642,370.8831437203063
0,10094.110260943102,91.99342915519082,1920839883396879.2,-69081.647852462,3.5216138746698764e+16,13.5642,371.95064533246125
0,11589.58925189068,91.99324923279346,1907783416205802.8,-69539.98434745656,3.5216138746698764e+16,13.5642,373.18086123671816
0,13306.62887121965,91.9929933285166,1892786159119047.5,-70070.33755141523,3.5216138746698764e+16,13.5642,374.59933407507214
0,15278.05412840577,91.99263341730693,1875560389042991.8,-70684.7085753566,3.5216138746698764e+16,13.5642,376.2358335107753
0,17541.553176954578,91.99213140495704,1855776776638012.0,-71397.3075100747,3.5216138746698764e+16,13.5642,378.12511062207875
0,20140.397806800487,91.99143542876118,1833059206770124.2,-72225.01739756398,3.5216138746698764e+16,13.5642,380.30779332796413
0,23124.270680265785,91.99047472808161,1806979572876134.0,-73187.9661740421,3.5216138746698764e+16,13.5642,382.8314424097639
0,26550.215126021485,91.98915247675905,1777053076432374.8,-74310.22869708824,3.5216138746698764e+16,13.5642,385.75177990403364
0,30483.725648462794,91.98733570564946,1742735039648458.8,-75620.67831461811,3.5216138746698764e+16,13.5642,389.1340788220013
1,11589.58925189068,91.99376081998344,1975384821428571.8,-67199.99999999999,3.0293888403852084e+16,13.5642,366.85690333103986
1,13306.62887121965,91.9937319985911,1958993310262845.0,-67759.94452622249,3.0293888403852084e+16,13.5642,368.3800707373326
1,15278.05412840577,91.99363351249485,1940130507812813.5,-68410.13749001897,3.0293888403852084e+16,13.5642,370.14086811248353
1,17541.553176954578,91.99342947475088,1918418235016755.5,-69166.42281855876,3.0293888403852084e+16,13.5642,372.17849547773045
1,20140.397806800487,91.99307221813069,1893419425794727.0,-70047.85940470161,3.0293888403852084e+16,13.5642,374.5393236415096
1,23124.270680265785,91.99249506341584,1864629135087180.0,-71077.51557322232,3.0293888403852084e+16,13.5642,377.2784331718041
1,26550.215126021485,91.99160465656314,1831464586797548.2,-72283.50362153378,3.0293888403852084e+16,13.5642,380.461549242996
1,30483.725648462794,91.99026997310284,1793254595427196.2,-73700.33803473166,3.0293888403852084e+16,13.5642,384.1674851017581
2,13306.62887121965,91.99376081999799,1975384821428571.8,-67199.99999999999,4.1471856689083064e+16,13.5642,366.8569033310399
2,15278.05412840577,91.9937320418976,1961010269876204.0,-67690.79168469316,4.1471856689083064e+16,13.5642,368.1923014315619
2,17541.553176954578,91.99363317660755,1944542968745076.8,-68257.47729886243,4.1471856689083064e+16,13.5642,369.72819998490525
2,20140.397806800487,91.99342917378817,1925689594578550.2,-68912.19688357886,4.1471856689083064e+16,13.5642,371.49479219163396
2,23124.270680265785,91.99307367643632,1904121561525713.0,-69669.09563441237,4.1471856689083064e+16,13.5642,373.5266756420184
2,26550.215126021485,91.99250265462615,1879474131257128.2,-70544.63010987679,4.1471856689083064e+16,13.5642,375.86333317452346
2,30483.725648462794,91.9916278245073,1851347863832743.2,-71557.87910336627,4.1471856689083064e+16,13.5642,378.54952313056947
3,13306.62887121965,91.99376081999799,1975384821428571.8,-67199.99999999999,1.873256532385876e+16,13.5642,366.8569033310399
3,15278.05412840577,91.99371787473501,1953960626092521.2,-67932.80471454708,1.873256532385876e+16,13.5642,368.84901635336325
3,17541.553176954578,91.99356932441879,1929239490700102.5,-68788.43127874516,1.873256532385876e+16,13.5642,371.1614873557589
3,20140.397806800487,91.99326006627234,1900693204051157.5,-69790.19753717356,1.873256532385876e+16,13.5642,373.85074775166584
3,23124.270680265785,91.99271540167683,1867702370965539.2,-70966.8492076883,1.873256532385876e+16,13.5642,376.98499153968976
3,26550.215126021485,91.99182928938535,1829538711651755.5,-72354.20502181411,1.873256532385876e+16,13.5642,380.64733507829396
3,30483.725648462794,91.99045061034849,1785343436348984.5,-73997.45537252272,1.873256532385876e+16,13.5642,384.9401143636061
4,13306.62887121965,91.99376081999799,1975384821428571.8,-67199.99999999999,3.3806565289493064e+16,13.5642,366.8569033310399
4,15278.05412840577,91.99372538973694,1957698991379837.5,-67804.35875253267,3.3806565289493064e+16,13.5642,368.5006173072778
4,17541.553176954578,91.99360327977047,1937362984525493.0,-68506.06445112181,3.3806565289493064e+16,13.5642,370.3999407516194
4,20140.397806800487,91.99335021039587,1913978013609738.2,-69322.13945012375,3.3806565289493064e+16,13.5642,372.596652696543
4,23124.270680265785,91.99290693165676,1887086316606971.2,-70273.00749988444,3.3806565289493064e+16,13.5642,375.1399749608567
4,26550.215126021485,91.99219050863758,1856163798035302.2,-71383.29660924528,3.3806565289493064e+16,13.5642,378.08805535153823
4,30483.725648462794,91.99108476981928,1820612965569841.0,-72682.85689925245,3.3806565289493064e+16,13.5642,381.50975867996425
5,13306.62887121965,91.99376081999799,1975384821428571.8,-67199.99999999999,4.97138992612444e+16,13.5642,366.8569033310399
5,15278.05412840577,91.99374419373635,1967074400161873.5,-67483.30622317051,4.97138992612444e+16,13.5642,367.6283448467059
5,17541.553176954578,91.99368750424765,1957655001421113.8,-67805.8688479734,4.97138992612444e+16,13.5642,368.5047151271681
5,20140.397806800487,91.99357169301948,1947005678522403.8,-68172.42426647272,4.97138992612444e+16,13.5642,369.4980861605801
5,23124.270680265785,91.99337226209173,1935003697988284.2,-68587.94981878006,4.97138992612444e+16,13.5642,370.62094703630055
5,26550.215126021485,91.9930563729722,1921530632952009.8,-69057.48825818852,4.97138992612444e+16,13.5642,371.8856848940585
