particle,time,energy,r,potential,impact parameter,v0,v
0,195915.1605232883,127971.45223199998,1133291548743967.5,-104538.79518081085,1445600721293806.5,505.908,681.9241122189636
0,201403.9780680049,127970.34792509198,1099907947281609.5,-106550.29514632939,1445600721293806.5,505.908,684.865889165786
0,207046.57196141605,127963.70694270059,1076234243714842.5,-108024.11454089305,1445600721293806.5,505.908,687.004834748044
0,212847.25044755166,127948.44224704121,1063975904185186.6,-108815.1943988447,1445600721293806.5,505.908,688.1331799090724
0,218810.44247149065,127924.33682212626,1064613312931297.1,-108798.22161836241,1445600721293806.5,505.908,688.073482181211
0,224940.70106095684,127893.71843970951,1079214623401920.9,-107898.16589200043,1445600721293806.5,505.908,686.7195706133763
0,231242.70680265882,127860.53465068959,1108301367858729.1,-106112.21996015396,1445600721293806.5,505.908,684.0654275883902
0,237721.2714160141,127829.09379568437,1151814264348842.0,-103512.11835385617,1445600721293806.5,505.908,680.207633226121
0,244381.34142700973,127802.90026026944,1209187495921402.5,-100225.80852788006,1445600721293806.5,505.908,675.3202333532581
0,251228.00194497657,127783.9294158587,1279496638193142.0,-96408.13185813179,1445600721293806.5,505.908,669.6149061572487
0,258266.4805451856,127772.4401771814,1361626323499533.5,-92213.1534433475,1445600721293806.5,505.908,663.3032392812942
0,265502.15126021486,127767.20073969036,1454413913983796.0,-87775.91877000616,1445600721293806.5,505.908,656.5715795093427
0,272940.5386831414,127765.91782983222,1556749204283930.0,-83204.69110453261,1445600721293806.5,505.908,649.5700253773489
0,280587.3221856877,127765.8500024208,1667630448728747.5,-78580.9846194287,1445600721293806.5,505.908,642.4123825423192
0,288448.3402545511,127765.82702145565,1786188125767475.0,-73965.66276890147,1445600721293806.5,505.908,635.1873578564944
0,296529.59494920814,127765.81762103912,1911688587086789.2,-69402.56749815158,1445600721293806.5,505.908,627.9623955607385
0,304837.25648462796,127765.84961237106,2043527658849132.0,-64959.169710851595,1445600721293806.5,505.908,620.8462278587551
0,313377.6679423579,127765.84961237111,2181284990269156.2,-60856.72463350148,1445600721293806.5,505.908,614.2028561409863
0,322157.35011361033,127765.849612371,2324698331077962.0,-57102.40258934835,1445600721293806.5,505.908,608.059622408394
0,331183.00647802826,127765.8496123711,2473576416160780.0,-53665.558554295196,1445600721293806.5,505.908,602.3809561509498
0,340461.52832193894,127765.84961237106,2627783973918880.0,-50516.275811680505,1445600721293806.5,505.908,597.1300116792851
