particle,time,energy,r,potential,impact parameter,v0
0,4831.344926110085,4232.0,1975384821428571.8,-67199.99999999999,7193951741708519.0,92.0
0,4966.701325911815,4232.00761977653,1974637720091206.8,-67224.8610051233,7193951741708519.0,92.0
0,5105.849910963718,4232.031340934962,1973870136790023.2,-67250.38138278936,7193951741708519.0,92.0
0,5248.896924258311,4232.072520370464,1973081524712833.0,-67276.5774263235,7193951741708519.0,92.0
0,5395.951585323467,4232.132604680737,1972271323394773.5,-67303.46575567333,7193951741708519.0,92.0
0,5547.126173613912,4232.213135630154,1971438958442174.0,-67331.06331866457,7193951741708519.0,92.0
0,5702.536114239027,4232.315755935808,1970583841255760.8,-67359.3873917988,7193951741708519.0,92.0
0,5862.3000660925345,4232.442215390372,1969705368753681.2,-67388.45558055179,7193951741708519.0,92.0
0,6026.540012451011,4232.594377348389,1968802923094873.2,-67418.28581911784,7193951741708519.0,92.0
0,6195.381354110967,4232.774225589834,1967875871403358.0,-67448.89636955521,7193951741708519.0,92.0
0,6368.953005134941,4232.983871586373,1966923565494096.5,-67480.3058202737,7193951741708519.0,92.0
0,6547.387491280308,4233.225562192441,1965945341601115.0,-67512.53308380565,7193951741708519.0,92.0
0,6730.821051185567,4233.501687787109,1964940520108664.2,-67545.59739379506,7193951741708519.0,92.0
0,6919.393740391532,4233.814790888078,1963908405286268.5,-67579.51830114004,7193951741708519.0,92.0
0,7113.249538276775,4234.167575270214,1962848285028581.0,-67614.31566921007,7193951741708519.0,92.0
0,7312.536457989145,4234.562915614442,1961759430601072.5,-67650.00966806106,7193951741708519.0,92.0
0,7517.406659456852,4235.003867718013,1960641096392657.5,-67686.62076756291,7193951741708519.0,92.0
0,7728.01656556614,4235.493679296327,1959492519676472.5,-67724.1697293494,7193951741708519.0,92.0
0,7944.526981593377,4236.0358014133235,1958312920380136.2,-67762.67759748953,7193951741708519.0,92.0
0,8167.103217983518,4236.633900573215,1957101500866940.2,-67802.16568777763,7193951741708519.0,92.0
0,8395.915216568235,4237.2918715118285,1955857445729546.2,-67842.65557552854,7193951741708519.0,92.0
0,8631.137680320215,4238.013850727526,1954579921597918.0,-67884.16908175657,7193951741708519.0,92.0
0,8872.950206742678,4238.804230791866,1953268076963363.8,-67926.72825760931,7193951741708519.0,92.0
0,9121.537424996142,4239.667675486446,1951921042020734.5,-67970.35536691525,7193951741708519.0,92.0
0,9377.089136866593,4240.609135808816,1950537928531013.5,-68015.07286669838,7193951741708519.0,92.0
0,9639.800461683573,4241.633866898701,1949117829706711.8,-68060.90338549796,7193951741708519.0,92.0
0,9909.871985297828,4242.747445934263,1947659820122723.5,-68107.8696993225,7193951741708519.0,92.0
0,10187.50991323313,4243.955791052154,1946162955655504.2,-68155.99470505491,7193951741708519.0,92.0
0,10472.926228128686,4245.265181349314,1944626273453703.0,-68205.30139111036,7193951741708519.0,92.0
0,10766.338851592514,4246.682278024367,1943048791943648.5,-68255.812805137,7193951741708519.0,92.0
0,11067.97181058933,4248.214146720813,1941429510873380.2,-68307.55201853481,7193951741708519.0,92.0
0,11378.055408490218,4249.868281140298,1939767411399246.8,-68360.54208754681,7193951741708519.0,92.0
0,11696.826400913978,4251.652627990596,1938061456219437.2,-68414.80601066876,7193951741708519.0,92.0
0,12024.528176495603,4253.5756133436225,1936310589759193.8,-68470.36668209608,7193951741708519.0,92.0
0,12361.410942718498,4255.646170477703,1934513738412861.8,-68527.24684091305,7193951741708519.0,92.0
0,12707.731916953566,4257.873769282203,1932669810848378.5,-68585.46901570792,7193951741708519.0,92.0
0,13063.755522850252,4260.268447309718,1930777698380298.8,-68645.05546427135,7193951741708519.0,92.0
0,13429.753592229803,4262.840842558464,1928836275417961.5,-68706.0281080199,7193951741708519.0,92.0
0,13806.005572634751,4265.602228077827,1926844399995992.5,-68768.40846075298,7193951741708519.0,92.0
0,14192.798740693455,4268.564548488794,1924800914394943.0,-68832.2175513314,7193951741708519.0,92.0
0,14590.428421461716,4271.740458518805,1922704645860546.0,-68897.47583983342,7193951741708519.0,92.0
0,14999.198213910375,4275.143363649098,1920554407430800.2,-68964.2031267191,7193951741708519.0,92.0
0,15419.420222729374,4278.787462983455,1918348998880885.0,-69032.4184544952,7193951741708519.0,92.0
0,15851.415296626752,4282.687794444413,1916087207796768.5,-69102.14000134682,7193951741708519.0,92.0
0,16295.513273303606,4286.860282408656,1913767810789314.5,-69173.38496616393,7193951741708519.0,92.0
0,16752.05323129234,4291.32178790051,1911389574861701.5,-69246.16944434984,7193951741708519.0,92.0
0,17221.383748850792,4296.090161457818,1908951258944072.8,-69320.50829376865,7193951741708519.0,92.0
0,17703.863170108947,4301.184298796361,1906451615610541.0,-69396.41499013695,7193951741708519.0,92.0
0,18199.859878673036,4306.624199392172,1903889392994961.2,-69473.90147113374,7193951741708519.0,92.0
0,18709.752578894,4312.4310281104845,1901263336923305.8,-69552.97796844797,7193951741708519.0,92.0
0,19233.930585016875,4318.627180009775,1898572193282009.5,-69633.6528269412,7193951741708519.0,92.0
0,19772.794118430626,4325.23634844349,1895814710643310.0,-69715.93231005865,7193951741708519.0,92.0
0,20326.75461324598,4332.2835965931445,1892989643170426.8,-69799.82039056285,7193951741708519.0,92.0
0,20896.235030434284,4339.795432554034,1890095753827374.0,-69885.31852562418,7193951741708519.0,92.0
0,21481.670180767815,4347.799888100242,1887131817920330.8,-69972.42541524269,7193951741708519.0,92.0
0,22083.507056806713,4356.3266012443055,1884096626999815.2,-70061.13674293054,7193951741708519.0,92.0
0,22702.205174188315,4356.90278662472,1880989514804009.0,-70151.4282287815,7193951741708519.0,92.0
0,23338.23692247677,4357.864118802492,1877809899445947.2,-70243.27023617762,7193951741708519.0,92.0
0,23992.087925843178,4359.243166668719,1874556741703398.2,-70336.64489346322,7193951741708519.0,92.0
0,24664.25741385019,4361.074686135107,1871229044492166.0,-70431.5299247897,7193951741708519.0,92.0
0,25355.25860262473,4363.395752096127,1867825859434538.2,-70527.89827971713,7193951741708519.0,92.0
0,26065.61908670962,4366.245897202214,1864346294037106.0,-70625.71773796249,7193951741708519.0,92.0
0,26795.881241894,4369.667257627967,1860789519529412.5,-70724.9504880003,7193951741708519.0,92.0
0,27546.602639328394,4373.704725971955,1857154779419061.2,-70825.55267823227,7193951741708519.0,92.0
0,28318.356471243354,4378.406111406977,1853441398823394.8,-70927.47393942799,7193951741708519.0,92.0
0,29111.731988593485,4383.822307128299,1849648794642684.5,-71030.65687718456,7193951741708519.0,92.0
0,29927.33495096395,4390.007465108967,1845776486644917.0,-71135.03653317418,7193951741708519.0,92.0
0,30765.78808908102,4397.019178080009,1841824109537787.2,-71240.53981403376,7193951741708519.0,92.0
0,31627.73158028065,4404.918668578204,1837791426109402.8,-71347.08488683292,7193951741708519.0,92.0
0,32513.82353729778,4413.770984781702,1833678341525474.0,-71454.58054020212,7193951741708519.0,92.0
0,33424.7405107503,4423.645202738058,1829484918877421.2,-71562.92551036205,7193951741708519.0,92.0
0,34361.178005699396,4434.614634418831,1825211396082909.2,-71672.00777153418,7193951741708519.0,92.0
0,35323.851012683925,4446.757040866301,1820858204247739.5,-71781.70379047794,7193951741708519.0,92.0
0,36313.49455363045,4460.154849462502,1816425987605896.2,-71891.87774526754,7193951741708519.0,92.0
0,37330.86424305907,4474.895374109299,1811915625162705.8,-72002.3807088374,7193951741708519.0,92.0
0,38376.73686501157,4491.071036795402,1807328254174609.0,-72113.04979836069,7193951741708519.0,92.0
0,39451.910966143,4508.779588682708,1802665295607872.5,-72223.70729215015,7193951741708519.0,92.0
0,40557.20746542943,4528.1243284251395,1797928481727577.8,-72334.15971653823,7193951741708519.0,92.0
0,41693.47028095817,4549.214314969868,1793119885977441.8,-72444.19690608326,7193951741708519.0,92.0
0,42861.56697427663,4572.164571528978,1788241955320225.0,-72553.59104152888,7193951741708519.0,92.0
0,44062.38941279583,4597.096276792567,1783297545217602.8,-72662.09567118346,7193951741708519.0,92.0
0,45296.85445074953,4624.13693871643,1778289957437226.0,-72769.44472286564,7193951741708519.0,92.0
0,46565.90462923326,4653.420545403656,1773222980883028.2,-72875.35151525703,7193951741708519.0,92.0
0,47870.50889585484,4685.087686656625,1768100935652419.5,-72979.50777947664,7193951741708519.0,92.0
0,49211.66334454696,4719.285638716552,1762928720530497.2,-73081.58270396084,7193951741708519.0,92.0
0,50590.391976107494,4756.1684035210055,1757711864136389.2,-73181.22201831845,7193951741708519.0,92.0
0,52007.74748004512,4795.896692472947,1752456579939890.2,-73278.04713478374,7193951741708519.0,92.0
0,53464.812038332464,4838.637843250894,1747169825367018.5,-73371.65436920505,7193951741708519.0,92.0
0,54962.69815167431,4884.565656552921,1741859365210449.5,-73461.61426724782,7193951741708519.0,92.0
0,56502.549488927056,4933.860137909971,1736533839554044.2,-73547.47106562712,7193951741708519.0,92.0
0,58085.54176031472,4986.707127783709,1731202836409133.2,-73628.7423227681,7193951741708519.0,92.0
0,59712.88361510949,5043.297801135792,1725876969242643.2,-73704.91875828056,7193951741708519.0,92.0
0,61385.81756446163,5103.828015521736,1720567959552487.2,-73775.46434602124,7193951741708519.0,92.0
0,63105.620930084966,5168.497484569336,1715288724612441.5,-73839.81671125,7193951741708519.0,92.0
0,64873.60681951825,5237.508751507732,1710053470465587.8,-73897.38788837552,7193951741708519.0,92.0
0,66691.12512871357,5311.065935285864,1704877790190539.5,-73947.56550192779,7193951741708519.0,92.0
0,68559.56357270964,5389.373219873771,1699778767396484.0,-73989.71443948984,7193951741708519.0,92.0
0,70480.34874518366,5472.633055679282,1694775084819473.5,-74023.17909118203,7193951741708519.0,92.0
0,72454.94720768661,5561.044040827575,1689887137791650.2,-74047.28623557539,7193951741708519.0,92.0
0,74484.86660939513,5654.7984495094715,1685137152235107.8,-74061.34865626732,7193951741708519.0,92.0
0,76571.65683823434,5754.079374952271,1680549306691175.8,-74064.66957630409,7193951741708519.0,92.0
0,78716.9112042524,5859.057456073133,1676149857732407.2,-74056.54799860295,7193951741708519.0,92.0
0,80922.26765614563,5969.887159839956,1671967267917367.2,-74036.28503885315,7193951741708519.0,92.0
0,83189.41003187059,6086.702596107891,1668032335236783.0,-74003.19133229938,7193951741708519.0,92.0
0,85520.06934428902,6209.612848589328,1664378322764189.5,-73956.59558645323,7193951741708519.0,92.0
0,87916.0251028354,6338.6968149488675,1661041086966178.5,-73895.85433726563,7193951741708519.0,92.0
0,90379.10667221106,6473.997561125245,1658059202849844.0,-73820.36294565628,7193951741708519.0,92.0
0,92911.19466914417,6615.516210055444,1655474083832760.0,-73729.56784368519,7193951741708519.0,92.0
0,95514.22239828143,6763.205403135435,1653330093920923.2,-73622.98000427424,7193951741708519.0,92.0
0,98190.17732831009,6916.962393878275,1651674649482236.8,-73500.18956475458,7193951741708519.0,92.0
0,100941.10260943102,7076.621856991464,1650558307619858.0,-73360.88148246784,7193951741708519.0,92.0
0,103769.09863335191,7241.948521824626,1650034837896775.0,-73204.85204057375,7193951741708519.0,92.0
0,106676.32463697944,7412.6297657824325,1650161273959064.8,-73032.02595520369,7193951741708519.0,92.0
0,109665.00035104563,7588.2683293918235,1650997941472014.0,-72842.47376308624,7193951741708519.0,92.0
0,112737.40769492048,7768.375338343802,1652608458744518.5,-72636.42909470873,7193951741708519.0,92.0
0,115895.89251890726,7952.363836714547,1655059706497938.8,-72414.30536598344,7193951741708519.0,92.0
0,119142.86639535036,8139.543047091967,1658421763460744.8,-72176.71135638199,7193951741708519.0,92.0
0,122480.80845992522,8329.113574850504,1662767804862325.2,-71924.465089597,7193951741708519.0,92.0
0,125912.2673045096,8520.163762758297,1668173961476247.5,-71658.60540072026,7193951741708519.0,92.0
0,129439.8629230931,8711.66737653318,1674719137635413.5,-71380.40056850709,7193951741708519.0,92.0
0,133066.28871219646,8902.482760779327,1682484787609098.8,-71091.35341893535,7193951741708519.0,92.0
0,136794.3135273409,9091.353548245082,1691554650881886.8,-70793.20237200551,7193951741708519.0,92.0
0,140626.78379712935,9276.910935481472,1702014448178724.2,-70487.91801045618,7193951741708519.0,92.0
0,144566.625696557,9457.677458609542,1713951541494325.0,-70177.69489657508,7193951741708519.0,92.0
0,148616.84738120958,9632.072119717646,1727454562848149.2,-69864.93854760217,7193951741708519.0,92.0
0,152780.5412840577,9791.601134970799,1742613017923714.0,-69559.0631928795,7193951741708519.0,92.0
0,157060.88647659603,9919.758467756634,1759516872078212.2,-69277.57620486223,7193951741708519.0,92.0
0,161461.1510961327,10013.828924814283,1778255361266372.8,-69021.05676655848,7193951741708519.0,92.0
0,165984.69484108573,10064.809877076157,1798909267064120.8,-68789.51830860482,7193951741708519.0,92.0
0,170634.97153618548,10071.242062632547,1821552963619208.5,-68583.14059856425,7193951741708519.0,92.0
0,175415.53176954575,10056.869253283468,1846258365588255.2,-68377.55232031835,7193951741708519.0,92.0
0,180330.0256036147,10048.717888050276,1873094693138195.5,-68145.21682744366,7193951741708519.0,92.0
0,185382.20536208036,10047.265569379058,1902128233339486.0,-67885.27414715642,7193951741708519.0,92.0
0,190575.92849484697,10052.986998208755,1933422160488911.0,-67597.00298970829,7193951741708519.0,92.0
0,195915.1605232883,10066.371434498098,1967036418442295.2,-67279.80837188016,7193951741708519.0,92.0
0,201403.9780680049,10710.891863845274,2003015181666750.8,-66273.0174064579,7193951741708519.0,92.0
0,207046.57196141605,11520.405794212522,2041371467425311.0,-65027.78260510632,7193951741708519.0,92.0
0,212847.25044755166,12268.703919482228,2082104038199532.8,-63755.632554648866,7193951741708519.0,92.0
0,218810.44247149065,12931.863144211515,2125193311324700.5,-62462.95774253839,7193951741708519.0,92.0
0,224940.70106095684,13482.45596118876,2170597823725072.0,-61156.35911409335,7193951741708519.0,92.0
0,231242.70680265882,13889.164183895191,2218249857558079.2,-59842.60950032514,7193951741708519.0,92.0
0,237721.2714160141,14116.466011455086,2268050037904224.0,-58528.62934305581,7193951741708519.0,92.0
0,244381.34142700973,14124.513245445189,2319860705115494.0,-57221.47873244453,7193951741708519.0,92.0
0,251228.00194497657,13869.386282923333,2373497880563364.0,-55928.366773385096,7193951741708519.0,92.0
0,258266.4805451856,13304.009186612813,2428721706271671.5,-54656.677896529385,7193951741708519.0,92.0
0,265502.15126021486,12380.11964873183,2485225377784173.5,-53414.012743727966,7193951741708519.0,92.0
0,272940.5386831414,11051.794267565354,2542622848561774.5,-52208.238463320355,7193951741708519.0,92.0
0,280587.3221856877,9281.068957652773,2600436013334868.5,-51047.5394584938,7193951741708519.0,92.0
0,288448.3402545511,7046.056973578881,2658082718506160.0,-49940.45485333995,7193951741708519.0,92.0
0,296529.59494920814,4351.4901509085175,2714867796503684.0,-48895.883685738016,7193951741708519.0,92.0
0,304837.25648462796,1240.628148062482,2769980268215951.5,-47923.0345151509,7193951741708519.0,92.0
0,313377.6679423579,-2194.0211328002624,2822500611837578.0,-47031.29538511467,7193951741708519.0,92.0
0,322157.35011361033,-5805.366782333054,2871422045701186.5,-46230.00655676311,7193951741708519.0,92.0
0,331183.00647802826,-9396.776582162398,2915688482804159.0,-45528.1353899412,7193951741708519.0,92.0
0,340461.52832193894,-12741.067212692058,2954248764725024.5,-44933.8801745613,7193951741708519.0,92.0
1,22083.507056806713,4232.0,1975384821428571.8,-67199.99999999999,7475483498014816.0,92.0
1,22702.205174188315,4232.133831485582,1972517809288764.2,-67287.78329887136,7475483498014816.0,92.0
1,23338.23692247677,4232.55020036819,1969582790841703.5,-67377.20872064434,7475483498014816.0,92.0
1,23992.087925843178,4233.272479544816,1966578699982404.0,-67468.27145497182,7475483498014816.0,92.0
1,24664.25741385019,4234.325518892976,1963504500969779.8,-67560.9633422528,7475483498014816.0,92.0
1,25355.25860262473,4235.735725531646,1960359193833502.2,-67655.27257675996,7475483498014816.0,92.0
1,26065.61908670962,4237.531147473623,1957141820293119.2,-67751.18338936196,7475483498014816.0,92.0
1,26795.881241894,4239.741560680253,1953851470233204.2,-67848.67570872688,7475483498014816.0,92.0
1,27546.602639328394,4242.398559517023,1950487288781956.5,-67947.72479986191,7475483498014816.0,92.0
1,28318.356471243354,4245.535650564911,1947048484044534.0,-68048.30087884495,7475483498014816.0,92.0
1,29111.731988593485,4249.18834972789,1943534335546658.0,-68150.368702584,7475483498014816.0,92.0
1,29927.33495096395,4253.3942825212725,1939944203448512.5,-68253.8871324639,7475483498014816.0,92.0
1,30765.78808908102,4258.193287388698,1936277538593852.5,-68358.80867075692,7475483498014816.0,92.0
1,31627.73158028065,4263.62752183828,1932533893464446.5,-68465.07896871798,7475483498014816.0,92.0
1,32513.82353729778,4269.7415711264475,1928712934115565.5,-68572.63630535225,7475483498014816.0,92.0
1,33424.7405107503,4276.582559140894,1924814453174223.5,-68681.41103593729,7475483498014816.0,92.0
1,34361.178005699396,4284.200261054983,1920838383988250.5,-68791.32500950151,7475483498014816.0,92.0
1,35323.851012683925,4292.64721722035,1916784816021072.8,-68902.29095463226,7475483498014816.0,92.0
