v0 Vvol
1.833030277982335932e+01 1.436742122425087188e+14
2.097755223895462251e+01 1.448079014986257188e+14
2.400711560653830645e+01 6.093933748401977344e+13
2.747420638883921029e+01 6.804084145343515625e+13
3.144201198793560081e+01 3.303869920999845703e+13
3.598284528615474187e+01 7.248637735687097656e+12
4.117946254152420948e+01 4.516678427827832812e+13
4.712657161275888029e+01 2.887864008840399219e+13
5.393255800104203246e+01 1.164861691029043359e+13
6.172146016554843584e+01 1.355107965351049805e+13
7.063523011264877027e+01 1.564777270417662598e+12
8.083632045782000830e+01 6.017421033050676758e+12
9.251064510922037698e+01 1.080295142171964844e+13
1.058709675311082634e+02 3.275436574287140137e+12
1.211607783378848211e+02 5.798970061727106445e+12
1.386587328875466198e+02 2.055178289813303223e+12
1.586837297492688492e+02 3.357331102743500977e+12
1.816007225997126966e+02 4.248495729754598145e+12
2.078273714693157501e+02 2.494327270269775879e+12
2.378416545569036487e+02 9.942907176953459167e+10
2.721905793372238804e+02 1.165357982592865181e+10
3.115001517205140544e+02 0.000000000000000000e+00
3.564867849510963538e+02 0.000000000000000000e+00
4.079703561710977056e+02 0.000000000000000000e+00
4.668891486039378833e+02 1.468416947638059616e+10
5.343169516774636350e+02 0.000000000000000000e+00
6.114826307348637329e+02 0.000000000000000000e+00
6.997925229894982522e+02 0.000000000000000000e+00
8.008560678877948931e+02 0.000000000000000000e+00
9.165151389911684419e+02 1.296707063257584348e+07
