Time , dt , Energy
54954087385.76226 , 4398046511.104 , [416.9789825 416.9789825]
67608297539.19819 , 4398046511.104 , [-1141.02771408 -1141.02771408]
83176377110.26709 , 4398046511.104 , [-1140.28546405 -1140.28546405]
102329299228.07536 , 4398046511.104 , [-1139.93671937 -1139.93671937]
125892541179.41661 , 17592186044.416 , [-1139.70559846 -1139.70559846]
154881661891.24796 , 17592186044.416 , [-1139.53069293 -1139.53069293 -9866.56038379 -9866.56038379]
190546071796.32443 , 17592186044.416 , [ -1139.39042567  -1139.39042567 -14592.58269601 -14592.58269601]
234422881531.9918 , 17592186044.416 , [ -1139.2735953   -1139.2735953  -14591.99749562 -14591.99749562]
288403150312.66 , 17592186044.416 , [ -1139.17370134  -1139.17370134 -14591.69656093 -14591.69656093]
354813389233.5746 , 17592186044.416 , [ -1139.0866701   -1139.0866701  -14591.53082358 -14591.53082358]
436515832240.16656 , 17592186044.416 , [-1.13900981e+03 -1.13900981e+03 -1.45914061e+04 -1.45914061e+04 5.37431389e+08  5.37431389e+08]
537031796370.25323 , 70368744177.664 , [-1.13894127e+03 -1.13894127e+03 -1.45913061e+04 -1.45913061e+04 5.37431457e+08  5.37431457e+08]
660693448007.5964 , 70368744177.664 , [-1.13887979e+03 -1.13887979e+03 -1.45912230e+04 -1.45912230e+04 5.37431457e+08  5.37431457e+08]
812830516164.0995 , 70368744177.664 , [-1.13882448e+03 -1.13882448e+03 -1.45911520e+04 -1.45911520e+04 5.37431457e+08  5.37431457e+08]
1000000000000.0 , 70368744177.664 , [-1.13877478e+03 -1.13877478e+03 -1.45910906e+04 -1.45910906e+04 5.37431457e+08  5.37431457e+08]
