Time,dt,Energy
54954087385.76226,435738476.5717411,[416.99442009 416.9944201 ]
67608297539.19819,1609511823.2152421,[-1140.60257614 -1140.60257614]
83176377110.26709,3761231614.235557,[-1139.86032598 -1139.86032598]
102329299228.07536,5946249667.090258,[-1139.51144582 -1139.51144581]
125892541179.41661,8427886483.758425,[-1139.28032496 -1139.28032495]
154881661891.24796,423103944.15709454,[-1139.10541948 -1139.10541948 -9651.39568648 -9651.39568647]
190546071796.32443,4561479754.53339,[ -1138.96515226  -1138.96515226 -14390.87932972 -14390.87932971]
234422881531.9918,10343421410.429298,[ -1138.84832195  -1138.84832194 -14390.29029228 -14390.29029227]
288403150312.66,16694269525.11361,[ -1138.74842804  -1138.74842804 -14389.98945033 -14389.98945033]
354813389233.5746,23927283105.212044,[ -1138.66139685  -1138.66139685 -14389.82373253 -14389.82373253]
436515832240.16656,576254815.1024531,[ -1138.58453526  -1138.58453526 -14389.69898677 -14389.69898676 -20999.09635254 -20999.09635254]
537031796370.25323,11288060571.990984,[ -1138.51600085  -1138.51600085 -14389.5991097  -14389.5991097 -27796.19724387 -27796.19724387]
660693448007.5964,28357869762.594376,[ -1138.45451556  -1138.45451556 -14389.51598096 -14389.51598096 -27802.48659793 -27802.48659793]
812830516164.0995,48211980358.68957,[ -1138.39920506  -1138.39920506 -14389.44504939 -14389.44504938 -27802.18546602 -27802.18546601]
1000000000000.0,69517293600.3263,[ -1138.34950867  -1138.34950866 -14389.38361693 -14389.38361693 -27802.03490371 -27802.03490371]
