particle_id,x,y,vx,vy,time,energy
0,-6666549064658.585,-737644673324.8534,-957.726804592484,-97.0717544252852,171628083811.6132,-31942.55896044901
0,-39114773563387.09,-3997200265665.9614,-764.419361261104,-76.60043862501682,211148671707.79855,-35271.10751616728
0,-74706263393805.4,-7561229685034.694,-705.8773201933883,-70.64965968619451,259769616800.62033,-35270.55575412608
0,-115569979554477.14,-11649869387109.557,-663.4870394697518,-66.36852335867741,319586447155.70245,-35270.29702282153
0,-163018060529519.8,-16395146729080.809,-628.0506145924827,-62.800731919147346,393177225510.5421,-35270.17838945516
0,-218371421004178.47,-21929310380319.742,-596.280546538801,-59.60804145844507,483713661940.277,-35270.092583244055
0,-283062766333164.25,-28395554423323.312,-566.5910528340927,-56.6282129646561,595097812300.4202,-35270.02657535189
0,-358673276041882.6,-35951790012939.12,-538.074297769427,-53.76872767146086,732130254051.978,-35269.973786760675
0,-446944892744526.9,-44771906700440.73,-510.1439320915971,-50.97001540676067,900716987727.0834,-35269.93046430382
0,-549774095727313.1,-55045159926008.22,-482.3823694932786,-48.18976815732984,1108123981340.8296,-35269.89430820919
0,-669183505105910.1,-66973333639678.3,-454.4650168501582,-45.395184589943575,1363290328431.9043,-35269.86385336322
0,-807262208981070.1,-80764773331775.67,-426.11773935998264,-42.55863062533609,1677213516620.3262,-35269.838163985216
0,-966060050535854.0,-96623817127531.42,-397.08977581777555,-39.65488625509413,2063423411482.4,-35269.81667522411
0,-1147413524052994.8,-114733393930889.52,-367.1337385675329,-36.659121152390036,2538565384109.942,-35269.79911068859
0,-1352669809332075.2,-135227447106798.88,-335.98801281895635,-33.545121253323515,3123117714735.799,-35269.78544267392
0,-1582258502025078.0,-158148147879906.44,-303.3581462539874,-30.283421103937297,3842274192010.384,-35269.77587809332
0,-1835033832420331.5,-183380191173185.0,-268.89372484498256,-26.8389897423003,4727029947328.75,-35269.770860223325
0,-2107402310175438.0,-210563679095657.03,-232.82642864996475,-23.234984942634593,5815517322893.456,-35269.768714534344
0,-2395060732300496.0,-239267851133007.1,-198.26550090894045,-19.782058657253124,7154649348474.241,-35269.768714534344
1,-353512026421984.8,127294173081.47882,646.0720910283052,0.0706962962832488,7154649348474.241,-1333.4544853370462
0,-2693228671285866.0,-269014323809339.12,-165.00024324851373,-16.459092715091213,8802141659541.008,-35269.768714534344
1,-767983430054545.1,-1800606813527.6443,-430.43470314522955,-0.8695636254502633,8802141659541.008,-42707.41104750371
0,-2993317707194349.5,-298944372273149.6,-132.264114274285,-13.189473358895771,10829000000000.014,-35269.76871453435
1,-1479608378648849.2,-3197663673593.164,-291.3848261566957,-0.5572538531123813,10829000000000.014,-44415.33526201661
2,-673318073116615.8,78162639342.09546,555.0098546592485,0.0321664906705947,10829000000000.014,-379.3121957554249
