particle,time,energy,r,potential,impact parameter,v0,v
0,50590.391976107494,207501.84479041997,1975384821428571.8,-67199.99999999999,1007845497345945.6,644.2078,741.2177072769106
0,58085.54176031472,207501.84360689152,1818928025974725.8,-72745.08697250985,1007845497345945.6,644.2078,748.6613795026445
0,66691.12512871357,207501.8389728272,1641663665375742.5,-79635.61728685642,1007845497345945.6,644.2078,757.8092850575052
0,76571.65683823434,207501.82843104936,1443303296007212.8,-88289.40071004722,1007845497345945.6,644.2078,769.1439776024988
0,87916.0251028354,207501.80771717674,1227404737598636.5,-99178.07836838515,1007845497345945.6,644.2078,783.1728877911465
0,100941.10260943102,207501.78400925698,1008727071486907.9,-112363.70277586987,1007845497345945.6,644.2078,799.8318408079624
0,115895.8925189068,207501.8476911559,833706378647995.2,-125169.47889931164,1007845497345945.6,644.2078,815.6853886033114
0,133066.28871219646,207501.88254674332,807938640629799.4,-127279.18460285768,1007845497345945.6,644.2078,818.2677644262922
0,152780.5412840577,207501.90165864828,1018687898745522.4,-111703.16165220184,1007845497345945.6,644.2078,799.0057112572476
0,175415.53176954575,207502.00729207508,1422201032155096.5,-89279.12213012167,1007845497345945.6,644.2078,770.429918191391
0,201403.9780680049,207502.0602265422,1953017539378049.5,-67965.24853037836,1007845497345945.6,644.2078,742.2497002450328
0,231242.70680265786,207501.9429477693,2584157909587052.5,-51369.09764976891,1007845497345945.6,644.2078,719.5429668859786
0,265502.15126021486,207501.9429477693,3314447363478565.0,-40050.676762198185,1007845497345945.6,644.2078,703.6371503977991
0,304837.25648462796,207501.94294776928,4152488499304559.0,-31967.78510578216,1007845497345945.6,644.2078,692.0545181610354
1,58085.54176031472,207501.84479042003,1975384821428571.8,-67199.99999999999,1420541383602974.8,644.2078,741.2177072769107
1,66691.12512871357,207501.84337575728,1821310689961587.0,-72657.11987741804,1420541383602974.8,644.2078,748.5438707960614
1,76571.65683823434,207501.83822082012,1653885955520773.5,-79137.16725045654,1420541383602974.8,644.2078,757.1512470719132
1,87916.0251028354,207501.8269394587,1479464263741429.5,-86626.50132240591,1420541383602974.8,644.2078,766.9789153058441
1,100941.10260943102,207501.80631743793,1313860831092908.5,-94603.89628654768,1420541383602974.8,644.2078,777.3103660752063
1,115895.8925189068,207501.78785969556,1191226135786076.2,-101188.68583088816,1420541383602974.8,644.2078,785.7359272562045
1,133066.28871219646,207501.83572233963,1169700419980380.5,-102414.06769540558,1420541383602974.8,644.2078,787.2939773905872
1,152780.5412840577,207501.91956484213,1307209146255271.8,-94944.92856992457,1420541383602974.8,644.2078,777.7491216771211
1,175415.53176954575,207502.00583565305,1615952760258997.0,-80696.40962774733,1420541383602974.8,644.2078,759.2080287554925
1,201403.9780680049,207497.82306130935,2070382897158592.0,-64116.574852980746,1420541383602974.8,644.2078,737.040565931469
1,231242.70680265786,207497.8230615026,2646961380816126.5,-50150.282116723225,1420541383602974.8,644.2078,717.8413545878028
1,265502.15126021486,207497.82306150263,3338603620286544.5,-39760.892605935274,1420541383602974.8,644.2078,703.2193337322828
1,304837.25648462796,207497.8230615026,4148523623211881.5,-31998.33773568466,1420541383602974.8,644.2078,692.0927117044179
2,66691.12512871357,207501.84479041997,1975384821428571.8,-67199.99999999999,1398461542300570.0,644.2078,741.2177072769106
2,76571.65683823434,207501.8429057298,1797121563059484.2,-73555.60118517125,1398461542300570.0,644.2078,749.7432148287853
2,87916.0251028354,207501.8359168886,1605102856937338.8,-81149.14240724646,1398461542300570.0,644.2078,759.8038935464007
2,100941.10260943102,207501.82046305656,1409880845229508.2,-89863.8924148775,1398461542300570.0,644.2078,771.1883205520348
2,115895.8925189068,207501.7979323818,1237766553576311.5,-98613.2012951363,1398461542300570.0,644.2078,782.4512754510891
2,133066.28871219646,207501.8421703633,1143783101561477.5,-103919.77582870668,1398461542300570.0,644.2078,789.204178903115
2,152780.5412840577,207501.9364211318,1205234842956946.8,-100402.90216113275,1398461542300570.0,644.2078,784.7354185740115
2,175415.53176954575,207502.04238768326,1462839718230339.5,-87385.84214417558,1398461542300570.0,644.2078,767.9685990089163
2,201403.9780680049,207502.09773587226,1893256335221181.8,-70053.65160437784,1398461542300570.0,644.2078,745.05805054405
2,231242.70680265786,207502.5288339049,2460438262720146.5,-53952.119836261336,1398461542300570.0,644.2078,723.1246762075904
2,265502.15126021486,207502.5288339049,3148696536825583.5,-42158.98815508915,1398461542300570.0,644.2078,706.6279317844633
2,304837.25648462796,207502.52883390491,3957840984220382.0,-33539.96801014692,1398461542300570.0,644.2078,694.3234071296341
3,76571.65683823434,207501.84479041997,1975384821428571.8,-67199.99999999999,1537405857460910.5,644.2078,741.2177072769106
